GENERAL LOCATION LONG,SITE_NAME,ENTRY COMPLETE (Yes or No),DEPLOYED? ACTIVELY COLLECTING DATA? (yes or no),AGENCY,PERSON ACCOUNTABLE,RIVER_KM(RKM),GATE_TYPE,INSTRUMENT_SERIAL_NO.,SYSTEM_MAKE,SYSTEM_MODEL,FILENAME,FIRMWARE_VERSION ,AUTO(A)_OR_REALTIME(RT) ,MODEM_IP_ADDRESS,HYDROPHONE_LATITUDE,HYDROPHONE_LONGITUDE,SHORE_POINT_LATITUDE,SHORE_POINT_LONGITUDE,RECEIVER_CLOCK_TIME_SYSTEM,BattStart_DateTime,DAYS_SINCE_POWER_UP,IN_WATER_DATETIME,OUT_WATER_DATETIME,BOTTOM_DEPTH(M),BOTTOM_DEPTH (FT),HYDROPHONE_DEPTH(M),HYDROPHONE_DEPTH(FT),BEACON_TAG_ID (Dec format),BEACON_PRI (SECS),BEACON_LAT,BEACON_LONG,BEACON_TAG_IN_WATER_DATE,BEACON_TAG_OUT_WATER_DATE,MOORING_METHOD,DEPLOYED_BY,RECOVERED_BY,JUSTIFICATION,EXPECTED_STUDY_DURATION,FUNDING_SOURCE,SPECIES_TAGGED,NOTES_DEPLOYMENT_RECOVERY_DATA ,,
Colusa AC2,AC2b,Y,N,USFWS,Poytress,318.617,S,16080,ATS,SR3000,16080___211213_082605.csv,4.1,A,,39.27959,-122.01798,39.2795,-122.01781,PST,12/13/2021 8:25,100,12/14/2021 10:37:00,3/15/2022 11:38:00,3.3,10.8,2.5,8.2,,,39.2795,-122.01781,12/14/2021 10:37:00,3/15/2022 11:38:00,Shore Cable,"DR, LL","DR, AH",RSM,100,USBR-CAT,CS,Test tag A3B5 applied and detected at start up 12/13/2021 08:42; Test tag A3B5 applied and detected prior to deployment 12/14/2021 10:35; Flashing green at recovery; Test tag A39A applied and detected at recovery 03/15/2022 11:47; Test tag A39A applied an,,
Colusa AC2,AC2b,Y,N,USFWS,Poytress,318.617,S,17092,ATS,SR3000,17092___220307_112837.csv,4.1,A,,39.27969,-122.01801,39.2795,-122.01781,PST,03/07/2022 11:28,100,3/15/2022 11:50:00,5/19/2022 9:41:00,2.0,6.6,1.2,3.9,,,39.2795,-122.01781,3/15/2022 11:50:00,5/19/2022 9:41:00,Shore Cable,"DR, AH","AD, LL",RSM,100,USBR-CAT,CS,Test Tag A376 applied and detected during start up 03/07/2022 11:39; Test tag A39A applied but not detected prior to deployment 03/15/2022 11:32 - tag not applied to hydrophone long enough; Test tag A425 applied and detected during recovery 05/19/2022 0,,
Colusa AC2,AC2b,Y,N,USFWS,Poytress,318.617,S,21138,ATS,SR3001,SR21138_220518_104629.csv,6.49,A,,39.27956,-122.01799,39.2795,-122.01781,PST,05/18/2022 10:45,100,5/19/2022 10:05:00,7/22/2022 9:22:00,1.8,5.9,1.2,3.9,,,39.2795,-122.01781,5/19/2022 10:05:00,7/22/2022 9:22:00,Shore Cable,"AD, LL","AD, LL",RSM,100,USBR-CAT,CS,Test Tag A3EA applied and detected at start up 05/18/2022 11:15; Test tag A425 applied and detected prior to deployment 05/19/2022 09:41; Test tag A3EA applied and detected at recovery 07/22/2022 09:26; Test tag A3EA applied and detected during post recov,,
Colusa,Colusa2,Y,N,USFWS,Poytress,307.739,S,16072,ATS,SR3000,16072___211213_085013.csv,4.1,A,,39.21675,-122.00619,39.21684,-122.00621,PST,12/13/2021 8:49,100,12/14/2021 11:19:00,3/15/2022 13:19:00,3.3,10.8,2.5,8.2,,,39.21684,-122.00621,12/14/2021 11:19:00,3/15/2022 13:19:00,Shore Cable,"DR, LL","DR, AH",RSM,100,USBR-CAT,CS,Test tag A3B5 applied and detected at start up 12/13/2021 09:01; Test tag A3B5 applied and detected prior to deployment 12/14/2021 11:17; Weights stuck in sediment and lost during recovery; Not flashing when recovered; Battery died 03/11-2022 - battery la,,
Colusa,Colusa2,Y,N,USFWS,Poytress,307.739,S,2000004,Lotek,WHS4350S,L2022_2000004.R2.JST,8.1,A,,39.21675,-122.00631,39.21684,-122.00621,PST,03/14/2022 12:24,100,3/15/2022 13:32:00,5/19/2022 8:56:00,2.1,6.9,1.8,5.9,4,30,39.21684,-122.00621,3/15/2022 13:32:00,5/19/2022 8:56:00,Shore Cable,"DR, AH","AD, LL",RSM,100,USBR-CAT,CS,Log Start 12:27:46 batteries were unplugged after startup; Redid startup process. Test Tag A39A applied and detected during start up 03/14/2022 12:28:12; Test tag A39A applied and detected prior to deployment 3/15/22 13:26; Test tag A425 appled and detect,,
Colusa,Colusa2,Y,N,USFWS,Poytress,307.739,S,2000040,Lotek,WHS4350S,L2022_2000040.R2.JST,8.6,A,,39.21674,-122.0062,39.21684,-122.00621,PST,05/18/2022 13:52,100,5/19/2022 9:07:00,7/22/2022 8:36:00,2.0,6.6,1.4,4.6,40,30,39.21684,-122.00621,5/19/2022 9:07:00,7/22/2022 8:36:00,Shore Cable,"AD, LL","AD, LL",RSM,100,USBR-CAT,CS,Test Tag A425 applied and detected at start up 05/18/2022 13:57:58; Test tag A425 applied and detected prior to deployment 05/19/2022 09:01; Test tag A3EA applied and detected at recovery 07/22/2022 08:36; Test tag A3EA applied and detected during post re,,
Colusa,Colusa1,Y,N,USFWS,Poytress,307.738,S,16066,ATS,SR3000,SR16066_211213_092139.csv,4.11,A,,39.21661,-122.00778,39.21671,-122.00793,PST,12/13/2021 9:20,100,12/14/2021 11:11:00,3/15/2022 13:01:00,3.8,12.5,3.0,9.8,,,39.21671,-122.00793,12/14/2021 11:11:00,3/15/2022 13:01:00,Shore Cable,"DR, LL","DR, AH",RSM,100,USBR-CAT,CS,Test tag A39A applied and detected during start up 12/12/2021 09:31; Test tag A3B5 applied and detected prior to deployment 12/14/2022 11:09; Flashing green when recovered; Test tag A39A applied and detected at recovery 03/15/2022 13:05; Test tag A39A app,,
Colusa,Colusa1,Y,N,USFWS,Poytress,307.738,S,20132,ATS,SR3001,SR20132_220314_114418.csv,6.43,A,,39.21655,-122.0078,39.21671,-122.00793,PST,03/14/2022 11:40,100,3/15/2022 13:08:00,5/19/2022 9:12:00,1.5,4.9,1.0,3.3,,,39.21671,-122.00793,3/15/2022 13:08:00,5/19/2022 9:12:00,Shore Cable,"DR, AD","AD, LL",RSM,100,USBR-CAT,CS,Test Tag A39A applied and detected at start up 03/14/2022 12:08; Test tag A39A applied and detected prior to deployment 03/15/2022 12:52; Test tag A425 applied and detected at recovery 05/19/2022 09:16; Test tag A425 applied and detected during post reco,,
Colusa,Colusa1,Y,N,USFWS,Poytress,307.738,S,20141,ATS,SR3001,SR20141_220518_134612.csv,6.43,A,,39.21659,-122.00783,39.21671,-122.00793,PST,05/18/2022 10:45,100,5/19/2022 9:20:00,7/22/2022 8:46:00,2.4,7.9,1.8,5.9,,,39.21671,-122.00793,5/19/2022 9:20:00,7/22/2022 8:46:00,Shore Cable,"AD, LL","AD, LL",RSM,100,USBR-CAT,CS,Test Tag A3EA applied and detected at start up 05/18/2022 11:11; Test tag A3EA applied and detected prior to deployment 05/19/2022 09:14; Test tag A3EA applied and detected at recovery 07/22/2022 08:50; Test tag A3EA applied and detected during post reco,,
Colusa BC2,BC2a,Y,N,USFWS,Poytress,296.278,S,16076,ATS,SR3000,No Data,4.11,A,,39.18546,-121.94302,39.18554,-121.94305,PST,12/13/2021 9:20,100,12/14/2021 12:40:00,3/15/2022 15:50:00,5.4,17.7,4.6,15.1,,,39.18554,-121.94305,12/14/2021 12:40:00,3/15/2022 15:50:00,Shore Cable,"DR, LL","DR, AH",RSM,100,USBR-CAT,CS,Test tag A3B5 applied at start up 12/13/2021 09:31; Test tag A3B5 applied prior to deployment 12/14/2021 12:36; Receiver not flashing when recovered; No data file created - CF card did not seem to be fully inserted into card holder.,,
Colusa BC2,BC2a,Y,N,USFWS,Poytress,296.278,S,17031,ATS,SR3000,SR17031_220518_124617.csv,4.11,A,,39.18546,-121.94303,39.18554,-121.94305,PST,05/18/2022 12:45,100,5/19/2022 8:14:00,7/22/2022 8:04:00,2.0,6.6,1.4,4.6,,,39.18554,-121.94305,5/19/2022 8:14:00,7/22/2022 8:04:00,Shore Cable,"AD, LL","AD, LL",RSM,100,USBR-CAT,CS,Test tag A425 applied and detected at start up 05/18/2022 12:52; Test tag A425 applied and detected prior to deployment 05/19/2022 08:14; Test tag A3EA applied and detected at recovery 07/22/2022 08:08; Test tag A3EA applied and detected during post recov,,
Colusa BC2,BC2a,Y,N,USFWS,Poytress,296.278,S,20129,ATS,SR3001,SR20129_220314_111945.csv,6.43,A,,39.18546,-121.94306,39.18554,-121.94305,PST,03/15/2022 11:15,100,3/15/2022 15:57:00,5/19/2022 8:12:00,2.7,8.9,2.1,6.9,,,39.18554,-121.94305,3/15/2022 15:57:00,5/19/2022 8:12:00,Shore Cable,"DR, AH","AD, LL",RSM,100,USBR-CAT,CS,Test Tag A39A applied and detected at start up 03/14/2022 11:37; Test Tag A39A applied and detected prior to deployment 03/15/2022 15:52; Test tag A425 applied and detected at recovery 05/19/2022 08:16; Test tag A425 applied and detected during post rec,,
Colusa BC2,BC2b,Y,N,USFWS,Poytress,296.277,S,16062,ATS,SR3000,16062___211213_092223_Testdisk_recovered.csv,4.1,A,,39.18522,-121.94244,39.185218,-121.942313,PST,12/13/2021 9:20,100,12/14/2021 12:47:00,3/15/2022 15:25:00,3.2,10.5,2.4,7.9,,,39.185218,-121.942313,12/14/2021 12:47:00,3/15/2022 15:25:00,Shore Cable,"DR, LL","DR, AH",RSM,100,USBR-CAT,CS,Test tag A3B5 applied but not detected at start up - may not have been applied long enough; Test tag A39A applied and detected prior to deployment 12/14/2021 12:43; Crosby was not tightened sufficiently - weights slipped down cable as receiver was recover,,
Colusa BC2,BC2b,Y,N,USFWS,Poytress,296.277,S,19044,ATS,SR3001,SR19044_220314_114509.csv,6.4,A,,39.18518,-122.94234,39.185218,-121.942313,PST,03/14/2022 11:40,100,3/15/2022 15:54:00,5/19/2022 8:23:00,1.6,5.3,1.0,3.3,,,39.185218,-121.942313,3/15/2022 15:54:00,5/19/2022 8:23:00,Shore Cable,"DR, AH","AD, LL",RSM,100,USBR-CAT,CS,Test Tag A39A applied and detected at start up 03/14/2022 11:56; Test tag A39A applied and detected prior to deployment 03/15/2022 15:28; Test Tag A425 applied and detected post recovery 05/19/2022 08:23; Receiver battery too low to run receiver 05/24/202,,
Colusa BC2,BC2b,Y,N,USFWS,Poytress,296.277,S,21136,ATS,SR3001,SR21136_220518_114439.csv,6.49,A,,39.18524,-122.94237,39.185218,-121.942313,PST,05/18/2022 11:50,100,5/19/2022 8:37:00,7/22/2022 8:13:00,1.5,4.9,0.9,3.0,,,39.185218,-121.942313,5/19/2022 8:37:00,7/22/2022 8:13:00,Shore Cable,"AD, LL","AD, LL",RSM,100,USBR-CAT,CS,Test Tag A425 applied and detected at start up 05/18/2022 12:00; Test tag A425 applied and detected prior to deployment 05/19/2022 08:27; Test tag A3EA applied and detected at recovery 07/22/2022 08:17: Test tag A3EA applied and detected during post recov,,
Colusa BC3,BC3a,Y,N,USFWS,Poytress,287.208,S,16070,ATS,SR3000,No Data,4.11,A,,39.13131,-121.93649,39.13122,-121.9366,PST,12/13/2021 8:25,100,12/14/2021 12:18:00,3/15/2022 14:51:00,5.1,16.7,4.3,14.1,,,39.13122,-121.9366,12/14/2021 12:18:00,3/15/2022 14:51:00,Shore Cable,"DR, LL","DR, AH",RSM,100,USBR-CAT,CS,Test tag A3B5 applied but unknown if detected during start up 12/13/2021 08:40; Test tag A3B5 applied and but unknown if detected prior to deployment 12/14/2021 12:15; Not flashing when recoverd; Test tag A39A applied but unknown if detected during recove,,
Colusa BC3,BC3a,Y,N,USFWS,Poytress,287.208,S,17094,ATS,SR3000,17094___220314_111400.csv,4.1,A,,39.13133,-121.93656,39.13122,-121.9366,PST,03/14/2022 10:44,100,3/15/2022 14:58:00,5/19/2022 7:48:00,3.3,10.8,2.4,7.9,,,39.13122,-121.9366,3/15/2022 14:58:00,5/19/2022 7:48:00,Shore Cable,"DR, AH","AD, LL",RSM,100,USBR-CAT,CS,"RCVR was not detecting Test Tag A376. Pulled card to see if detected. There were no Test Tag detections, repeated startup. Test Tag A376 was dead. Test Tag A39A applied and detected during restart 03/14/2022 11:28; Test tag A39A applied and detected prior",,
Colusa BC3,BC3a,Y,N,USFWS,Poytress,287.208,S,17122,ATS,SR3000,17122___220518_124801.csv,4.1,A,,39.13131,-121.93655,39.13122,-121.9366,PST,05/18/2022 12:47,100,5/19/2022 7:56:00,7/22/2022 7:43:00,3.0,9.8,2.4,7.9,,,39.13122,-121.9366,5/19/2022 7:56:00,7/22/2022 7:43:00,Shore Cable,"AD, LL","AD, LL",RSM,100,USBR-CAT,CS,Test Tag A425 applied and detected during restart 05/18/2022 12:47; Test tag A425 applied and detected prior to deployment 05/19/2022 07:52; Test tag A3EA applied and detected at recovery 07/22/2022 07:46: Test tag A3EA applied and detected during post re,,
Colusa BC3,BC3c,Y,N,USFWS,Poytress,287.206,S,16073,ATS,SR3000,No Data,4.05,A,,39.13035,-121.93532,39.13026,-121.93529,PST,12/13/2021 8:25,100,12/14/2021 12:09:00,3/15/2022 15:03:00,2.4,7.9,1.6,5.3,,,39.13026,-121.93529,12/14/2021 12:09:00,3/15/2022 15:03:00,Shore Cable,"DR, LL","DR, AH",RSM,100,USBR-CAT,CS,No data file on CF card - many folders with rectangular geometric shape for folder names - could not extract data; Test tag A3B5 applied at start up but unknown if detected 12/13/2021 08:25; Test tag A3B5 applied prior to deployment but unknown if detect,,
Colusa BC3,BC3c,Y,N,USFWS,Poytress,287.206,S,1900003,Lotek,WHS4350S,L2022_1900003.R2.JST,8,A,,39.13042,-121.93536,39.13026,-121.93529,PST,03/14/2022 12:38,100,3/15/2022 14:41:00,5/19/2022 7:30:00,1.6,5.3,1.2,3.9,,,39.13026,-121.93529,3/15/2022 14:41:00,5/19/2022 7:30:00,Shore Cable,"DR, AH","AD, LL",RSM,100,USBR-CAT,CS,Test Tag A39A applied and detected at start up 3/14/22 12:43:36; Test tag A39A applied and detected prior to deployment 03/15/2022 14:35; Flashing when recovered; Test tag A39A applied and detected at recovery 05/19/2022 07:32; Test tag A39a appliede and,,
Colusa BC3,BC3c,Y,N,USFWS,Poytress,287.206,S,2000003,Lotek,WHS4350S,L2022_2000003.R2.JST,8.1,A,,39.13042,-121.93536,39.13026,-121.93529,PST,05/18/2022 13:40,100,5/19/2022 7:41:00,7/22/2022 7:34:00,1.6,5.3,1.2,3.9,,,39.13026,-121.93529,5/19/2022 7:41:00,7/22/2022 7:34:00,Shore Cable,"AD, LL","AD, LL",RSM,100,USBR-CAT,CS,Test Tag A425 applied and detected at start up 05/18/2022 13:43:34; Test tag A425 applied and detected prior to deployment 05/19/2022 07:37; Test tag A3EA applied but not detected at recovery (not applied long enough?) 07/22/2022 07:37; Test tag A3EA appl,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSBC_BaldwinPool,Baldwin_Pool,Y,N,USFWS,Austing,533.305,S,17091,ATS,SR3000,SR17091___220110_132119.csv,4.1,A,,40.42642,-122.01,40.42642,-122.01,PST,1/10/2022 13:19,,1/21/2022 9:50,5/18/2022 10:02,3.4,11.0,0.9,3.0,,,,,,,Shore Cable,"RS, CB, CS, RS","CS, SV",BC Jumpstart,250,USBR,CS,"Used for adult and juvenile studies in the Battle Creek watershed, Deploy: Test tag 9A38 applied 1/10/22 13:26 and 1/21/2022 09:38, standalone cable on left of thalwag, Recovery: verified green light, applied test tag 4360 at 9:50, Post Recovery: no lights, no test tag applied, when Trident software opened, Receiver SN was 09000, could not get correct SN to show",,
NFBC_TroutFarm,NFBC_TroutFarm,Y,N,USFWS,Austing,540.432,S,20093,ATS,SR3000,SR20093_220110_131930.csv,6.43,A,,40.41685,-121.944,40.41685,-121.944,PST,1/10/2022 13:28,,1/11/2022 13:55,3/23/2022 9:28,1.5,5.0,0.5,1.5,,,,,,,Shore Cable,"RS, CB, CS, RS","RJB, CS",BC Jumpstart,250,USBR,CS,"Used for adult and juvenile studies in the Battle Creek watershed, Deploy: Test tag 9A38 applied 1/10/22 13:42 and 1/11/2022 13:44, farthest downstream Recovery: test tag 4170 applied 3/23/22 09:26 and 2CE0 3/24/22 08:30, full coverage initialization to downlad",,
SFBC_R3B,SFBC_R3B,Y,N,USFWS,Austing,535.268,S,20094,ATS,SR3000,SR20094_220110_162536.csv,6.43,A,,40.41854,-121.995,40.41854,-121.995,PST,1/10/2022 13:25,,1/11/2022 11:53,3/23/2022 7:57,2.4,8.0,0.6,2.0,,,,,,,Shore Cable,"RS, CB, CS, RS","RJB, CS",BC Jumpstart,250,USBR,CS,"Used for adult and juvenile studies in the Battle Creek watershed, Deploy: Test tag 9A38 applied 1/10/22 13:37 and 1/11/2022 11:49, farthest downstream, Recovery: receiver flashing green, test tag 2 CE0 applied, recovery tag not detected, continuous coverage from initialization to download",,
MSBC_OldHatch,BattleCk3,Y,N,USFWS,Austing,511.482,S,20095,ATS,SR3000,SR20095_220110_154123.csv,6.43,A,,40.38439,-122.179,40.38439,-122.179,PST,1/10/2022 12:41,,1/14/2022 10:06,5/18/2022 12:40,2.6,8.5,0.9,3.0,,,,,,,Shore Cable,"RS, CB, CS, RS","CS, SV",BC Jumpstart,250,USBR,CS,"Used for adult and juvenile studies in the Battle Creek watershed, Deploy: Test tag 9A38 applied 1/10/22 13:19 and 1/14/2022 10:03, farther from bank than Lotek, Recovery: test tag 3FB4 applied at 05/18/2022 10:34 PST; Post recovery: no lights, battery seems dead, no test applied, does not appear to have data coverage issues through 04/23/2022, file size too large had to open in Notepad, times of test tag applied at start up and deployment are correct",,
MSBC_Intake2,MSBC_Intake2,Y,N,USFWS,Austing,519.645,S,20096,ATS,SR3000,SR20096_220110_153639.csv,6.43,A,,40.40304,-122.125,40.40304,-122.125,PST,1/10/2022 12:39,,1/21/2022 12:15,3/23/2022 12:31,5.2,17.0,2.1,7.0,,,,,,,Shore Cable,"RS, CB, CS, RS","RAS, RJS",BC Jumpstart,250,USBR,CS,"Used for adult and juvenile studies in the Battle Creek watershed, Deploy: Test tag 9A38 applied 1/10/22 13:11 and 1/21/2022 12:11, farthest upstream, Recovery: receiver flashing green, test tag 2CE0 applied 3/24 08:01:45, all test tags detected, continous coverage from intilization to download",,
MSBC_Confluence,BattleCk4,Y,N,USFWS,Austing,508.089,S,20097,ATS,SR3000,SR20097_220110_123259.csv,6.43,A,,40.35855,-122.174,40.35855,-122.174,PST,1/10/2022 12:33,,1/14/2022 12:01,3/23/2022 9:30,1.1,3.6,0.1,0.3,,,,,,,Shore Cable,"RS, CB, CS, RS","RAS, RJS",BC Jumpstart,250,USBR,CS,"Used for adult and juvenile studies in the Battle Creek watershed, Deploy: Test tag 9A38 applied 1/10/22 13:12 and 1/14/2022 11:47, upstream of Lotek, Recovery: green light flashing, test tag 4170 applied at download, all test tags detected, continuous coverage from initialization to download",,
NFBC_WildcatBr,NFBC_WildcatBr,Y,N,USFWS,Austing,536.088,S,20143,ATS,SR3000,SR20143_220110_153407.csv,6.43,A,,40.42467,-121.988,40.42467,-121.988,PST,1/10/2022 12:34,,1/11/2022 10:34,3/23/2022 8:43,2.9,9.5,0.8,2.5,,,,,,,Shore Cable,"RS, CB, CS, RS","RJB, CS",BC Jumpstart,250,USBR,CS,"Used for adult and juvenile studies in the Battle Creek watershed, Deploy: Test tag 9A38 applied 1/10/22 13:49 and 1/11/2022 10:09, further downstream than site last year where receiver was stolen (same where Lotek and Vemco were) upstream of Lotek, Recovery: flashing green light when downloaded, recovery test tag not detected, 2CE0 applied 2/24 08:15 detected, continuous coverage",,
MSBC_Confluence,BattleCk4,Y,N,USFWS,Austing,508.089,S,2000006,Lotek,WHS 4350S,L2022_2000006.R1.JST,8.2,A,,40.35855,-122.174,40.35855,-122.174,PST,1/10/2022 12:15,,1/14/2022 12:07,3/23/2022 9:15,1.1,3.5,0.3,1.0,6,30,40.35855,-122.174,########,########,Shore Cable,"RS, CB, CS, RS","RAS, RJS",BC Jumpstart,250,USBR,CS,"Used for adult and juvenile studies in the Battle Creek watershed, Deploy: Test tag 9A38 applied 1/10/22 14:23:06 and 1/14/2022 112:05, downstream of ATS, Recovery: Test tag 4360 applied at recovery but not detected, tag 2CE0 applied at download and detected, continuous coverage from initialization to download",,
NFBC_TroutFarm,NFBC_TroutFarm,Y,N,USFWS,Austing,540.432,S,2000007,Lotek,WHS 4350S,L2022_2000007.R1.JST,8.2,A,,40.41685,-121.944,40.41685,-121.944,PST,1/10/2022 14:53,,1/11/2022 14:00:00 PM,3/23/2022 9:26,1.4,4.5,0.3,1.0,7,30,40.41685,-121.944,1/11/2022 14:00:00 PM,########,Shore Cable,"RS, CB, CS, RS","RJB, CS",BC Jumpstart,250,USBR,CS,"Used for adult and juvenile studies in the Battle Creek watershed, Deploy: Test tag 9A38 applied 1/10/22 14:56:00 and 1/11/2022 13:57, farthest upstream, Recovery: Deployment and Recovery test tags not detected, 2CE0 detected at download,",,
MSBC_BaldwinPool,Baldwin_Pool,Y,N,USFWS,Austing,533.305,S,2000008,Lotek,WHS 4350S,L2022_2000008.R1.JST,8.2,A,,40.42642,-122.01,40.42642,-122.01,PST,1/10/2022 14:26,,1/21/2022 10:05,3/28/2022 8:50,2.4,8.0,0.9,3.0,8,30,40.42642,-122.01,########,########,Shore Cable,"RS, CB, CS, RS","CB, CS",BC Jumpstart,250,USBR,CS,"Used for adult and juvenile studies in the Battle Creek watershed, Deploy: Test tag 9A38 applied 1/10/22 14:29:25 and 1/21/2022 09:50, left of thalowag and downstream of Vemco, Recovery: Test tag not recorded at recovery, beacon tag observed in data until after receiver recovered on 3/28/2022 but before download on 3/29/22",,
NFBC_WildcatBr,NFBC_WildcatBr,Y,N,USFWS,Austing,536.088,S,2000009,Lotek,WHS 4350S,L2022_2000009.R1.JST,8.2,A,,40.42467,-121.988,40.42467,-121.988,PST,1/10/2022 14:00,,1/11/2021 10:07,3/23/2022 8:43,1.2,4.0,0.5,1.5,9,30,40.42467,-121.988,########,########,Shore Cable,"RS, CB, CS, RS","RJB, CS",BC Jumpstart,250,USBR,CS,"Used for adult and juvenile studies in the Battle Creek watershed, Deploy: Test tag 9A38 applied 1/10/22 14:13:15 and 1/11/2022 09:55, downstream of ATS, Recovery: WY2021 also present in file (2/1/2021 through 6/11/2021). Current WY data starts on 1/10/2022 14:12:50, Test tag 4170 not detected at recovery, tag 2EC0 detected during download, continuous coverage from initialization to download",,
SFBC_R3B,SFBC_R3B,Y,N,USFWS,Austing,535.268,S,2000052,Lotek,WHS 4350S,L2022_2000052.R1.JST,8.7,A,,40.41854,-121.995,40.41854,-121.995,PST,1/10/2022 14:30,,1/11/2022 11:47,3/23/2022 8:43,2.1,7.0,0.8,2.5,52,30,40.41854,-121.995,########,########,Shore Cable,"RS, CB, CS, RS","RJB, CS",BC Jumpstart,250,USBR,CS,"Used for adult and juvenile studies in the Battle Creek watershed, Deploy: Test tag 9A38 applied 1/10/22 14:35:35 and 1/11/2022 11:45, Recovery: test tag not detected at recovery, tag 2CE0 recorded at download, continuous coverage from initialization to download",,
MSBC_OldHatch,BattleCk3,Y,N,USFWS,Austing,511.482,S,2000053,Lotek,WHS 4350S,L2022_2000053.R1.JST,8.7,A,,40.38439,-122.179,40.38439,-122.179,PST,1/10/2022 12:30,,1/14/2022 10:13,3/25/2022 10:36,2.9,9.5,1.2,4.0,53,30,40.38439,-122.179,########,########,Shore Cable,"RS, CB, CS, RS","SEA, RAS",BC Jumpstart,250,USBR,CS,"Used for adult and juvenile studies in the Battle Creek watershed, Deploy: Test tag 9A38 applied 1/10/22 14:43:43 and 1/14/2022 110:12, closer to bank than ATS, Recovery: Test tag 3FB4 not recorded during recovery but recorded during download 3/25/2022 13:18, continuous coverage from initialization to download",,
MSBC_Intake2,MSBC_Intake2,Y,N,USFWS,Austing,519.645,S,2000062,Lotek,WHS 4350S,L2022_2000062.R1.JST,8.7,A,,40.40304,-122.125,40.40304,-122.125,PST,1/10/2022 14:01,,1/21/2022 12:22,3/23/2022 12:27,4.6,15.0,1.5,5.0,62,30,40.40304,-122.125,########,########,Shore Cable,"RS, CB, CS, RS","RAS, RJS",BC Jumpstart,250,USBR,CS,"Used for adult and juvenile studies in the Battle Creek watershed, Deploy: Test tag 9A38 applied 1/10/22 14:06:50 and 1/21/2022 12:19, farthest downstream, Recovery: Test tag 4360 applied 3/23/2022 and 2CE0 applied 3/24/22, all test tags confirmed, continuous coverage from initialization to download",,
NFBC_WildcatBr,NFBC_WildcatBr,Y,N,USFWS,Austing,536.088,S,17119,ATS,SR3000,SR17119___220322_070307.csv,4.11,A,,40.42467,-121.988,40.42467,-121.988,PST,3/22/2022 7:04,,3/23/2022 8:03,5/17/2022 10:28,1.2,,0.3,,--,--,,,,,Shore Cable,"RJB, CS","CS, RS",BC Jumpstart,250,USBR,CS,"Deploy: Test tag A398 applied 3/22/2022 07:11:50 and 4170 applied at deploy 3/23/2022 08:05, Recovery: no light seen but most likely an error because seen at post recovery; Post Recovery: blinking green light every 5 seconds, applied 4360 at 5/17/2022 12:54",,
SFBC_R3B,SFBC_R3B,Y,N,USFWS,Austing,535.268,S,18138,ATS,SR3001,SR18138_220322_074255.csv,6.23,A,,40.41854,-121.995,40.41854,-121.995,PST,3/22/2022 7:44,,3/23/2022 8:06,5/17/2022 9:40,1.2,,0.3,,--,--,,,,,Shore Cable,"RJB, CS","RS, CS",BC Jumpstart,250,USBR,CS,"Deploy: Test tag A398 applied 3/22/22 07:51:49 and 4170 3/23/2022 08:01, Recovery: no green light; Post Recovery: no lights, test tag 4360 applied at 5/17/2022 12:26",,
MSBC_Confluence,MSBC_Confluence,Y,N,USFWS,Austing,508.089,S,18140,ATS,SR3001,,6.23,A,,40.35855,-122.174,40.35855,-122.174,PST,3/22/2022 7:32,,3/23/2022 10:08,5/20/2022 12:26,1.4,,0.3,,--,--,,,,,Shore Cable,"RAS, RJS","CB, MR",BC Jumpstart,250,USBR,CS,"Deploy: Test tag A398 applied 3/22/22 07:38:01 and 4360 on 3/23/22 09:52, Recovery: no notes; Post Recovery: only file on SD card is a ""System file"" (file type) called SYST2M~1 with a file size of 0 Kb, SD card left in receiver, no lights, battery dead, no excel file on SD card",,
MSBC_Intake2,MSBC_Intake2,Y,N,USFWS,Austing,519.645,S,18149,ATS,SR3001,SR18149_220322_080135.csv,6.41,A,,40.40304,-122.125,40.40304,-122.125,PST,3/22/2022 8:03,,3/23/2022 12:34,5/18/2022 11:45,3.0,,1.2,,--,--,,,,,Shore Cable,"RAS, RJS","CS, SV",BC Jumpstart,250,USBR,CS,"Deploy: Test tag 9A38 applied 3/22/22 08:17:38 and 3FB4 on 3/23/22 12:21, Recovery: no lights flashing; Post Recovery: no lights, no test tag applied, test tag detected at start up, start voltage starts at 3.37 but increases slightly",,
NFBC_TroutFarm,NFBC_TroutFarm,Y,N,USFWS,Austing,540.432,S,20088,ATS,SR3001 sidewinder,SR20088_220322_082134.csv,6.43,A,,40.42467,-121.988,40.42467,-121.988,PST,3/22/2022 8:22,,3/23/2022 9:44,5/17/2022 11:06,1.0,,0.5,,--,--,,,,,Shore Cable,"RJB, CS","RS, CS",BC Jumpstart,250,USBR,CS,"Deploy: Test tag A938 applied 03/22/22 08:37:44 and 4170 3/23/2022 09:44, Recovery: no notes; Post Recovery: constant red and green light, battery start voltage = 3.38, receiver couldn't be detected by trident software, still able to download data",,
